,"ï»¿""STATISTIC""",Statistic Label,Year,UNIT,VALUE
193,HRA01C4,First Admissions as a % of All Admissions (Number),1984,Number,30.0
194,HRA01C4,First Admissions as a % of All Admissions (Number),1985,Number,29.0
195,HRA01C4,First Admissions as a % of All Admissions (Number),1986,Number,28.0
196,HRA01C4,First Admissions as a % of All Admissions (Number),1987,Number,28.0
197,HRA01C4,First Admissions as a % of All Admissions (Number),1988,Number,28.0
198,HRA01C4,First Admissions as a % of All Admissions (Number),1989,Number,28.0
199,HRA01C4,First Admissions as a % of All Admissions (Number),1990,Number,27.0
200,HRA01C4,First Admissions as a % of All Admissions (Number),1991,Number,28.0
201,HRA01C4,First Admissions as a % of All Admissions (Number),1992,Number,27.0
202,HRA01C4,First Admissions as a % of All Admissions (Number),1993,Number,27.0
203,HRA01C4,First Admissions as a % of All Admissions (Number),1994,Number,27.0
204,HRA01C4,First Admissions as a % of All Admissions (Number),1995,Number,27.0
205,HRA01C4,First Admissions as a % of All Admissions (Number),1996,Number,27.0
206,HRA01C4,First Admissions as a % of All Admissions (Number),1997,Number,27.0
207,HRA01C4,First Admissions as a % of All Admissions (Number),1998,Number,28.0
208,HRA01C4,First Admissions as a % of All Admissions (Number),1999,Number,28.0
209,HRA01C4,First Admissions as a % of All Admissions (Number),2000,Number,30.0
210,HRA01C4,First Admissions as a % of All Admissions (Number),2001,Number,30.0
211,HRA01C4,First Admissions as a % of All Admissions (Number),2002,Number,30.0
212,HRA01C4,First Admissions as a % of All Admissions (Number),2003,Number,29.0
213,HRA01C4,First Admissions as a % of All Admissions (Number),2004,Number,28.0
214,HRA01C4,First Admissions as a % of All Admissions (Number),2005,Number,28.0
215,HRA01C4,First Admissions as a % of All Admissions (Number),2006,Number,28.0
216,HRA01C4,First Admissions as a % of All Admissions (Number),2007,Number,28.0
217,HRA01C4,First Admissions as a % of All Admissions (Number),2008,Number,30.0
218,HRA01C4,First Admissions as a % of All Admissions (Number),2009,Number,30.0
219,HRA01C4,First Admissions as a % of All Admissions (Number),2010,Number,32.0
220,HRA01C4,First Admissions as a % of All Admissions (Number),2011,Number,32.0
221,HRA01C4,First Admissions as a % of All Admissions (Number),2012,Number,34.0
222,HRA01C4,First Admissions as a % of All Admissions (Number),2013,Number,33.0
223,HRA01C4,First Admissions as a % of All Admissions (Number),2014,Number,33.0
224,HRA01C4,First Admissions as a % of All Admissions (Number),2015,Number,34.0
225,HRA01C4,First Admissions as a % of All Admissions (Number),2016,Number,35.0
226,HRA01C4,First Admissions as a % of All Admissions (Number),2017,Number,35.0
227,HRA01C4,First Admissions as a % of All Admissions (Number),2018,Number,36.0
228,HRA01C4,First Admissions as a % of All Admissions (Number),2019,Number,32.0
229,HRA01C4,First Admissions as a % of All Admissions (Number),2020,Number,37.0
230,HRA01C4,First Admissions as a % of All Admissions (Number),2021,Number,37.0
231,HRA01C4,First Admissions as a % of All Admissions (Number),2022,Number,34.0
232,HRA01C5,Re-Admissions as a % of All Admissions (Number),1965,Number,60.0
233,HRA01C5,Re-Admissions as a % of All Admissions (Number),1966,Number,60.0
234,HRA01C5,Re-Admissions as a % of All Admissions (Number),1967,Number,61.0
235,HRA01C5,Re-Admissions as a % of All Admissions (Number),1968,Number,62.0
236,HRA01C5,Re-Admissions as a % of All Admissions (Number),1969,Number,61.0
237,HRA01C5,Re-Admissions as a % of All Admissions (Number),1970,Number,62.0
238,HRA01C5,Re-Admissions as a % of All Admissions (Number),1971,Number,62.0
239,HRA01C5,Re-Admissions as a % of All Admissions (Number),1972,Number,63.0
240,HRA01C5,Re-Admissions as a % of All Admissions (Number),1973,Number,63.0
241,HRA01C5,Re-Admissions as a % of All Admissions (Number),1974,Number,64.0
242,HRA01C5,Re-Admissions as a % of All Admissions (Number),1975,Number,66.0
243,HRA01C5,Re-Admissions as a % of All Admissions (Number),1976,Number,66.0
244,HRA01C5,Re-Admissions as a % of All Admissions (Number),1977,Number,67.0
245,HRA01C5,Re-Admissions as a % of All Admissions (Number),1978,Number,69.0
246,HRA01C5,Re-Admissions as a % of All Admissions (Number),1979,Number,69.0
247,HRA01C5,Re-Admissions as a % of All Admissions (Number),1980,Number,69.0
248,HRA01C5,Re-Admissions as a % of All Admissions (Number),1981,Number,70.0
249,HRA01C5,Re-Admissions as a % of All Admissions (Number),1982,Number,70.0
250,HRA01C5,Re-Admissions as a % of All Admissions (Number),1983,Number,70.0
251,HRA01C5,Re-Admissions as a % of All Admissions (Number),1984,Number,70.0
252,HRA01C5,Re-Admissions as a % of All Admissions (Number),1985,Number,71.0
253,HRA01C5,Re-Admissions as a % of All Admissions (Number),1986,Number,72.0
254,HRA01C5,Re-Admissions as a % of All Admissions (Number),1987,Number,72.0
255,HRA01C5,Re-Admissions as a % of All Admissions (Number),1988,Number,72.0
256,HRA01C5,Re-Admissions as a % of All Admissions (Number),1989,Number,72.0
257,HRA01C5,Re-Admissions as a % of All Admissions (Number),1990,Number,73.0
258,HRA01C5,Re-Admissions as a % of All Admissions (Number),1991,Number,72.0
259,HRA01C5,Re-Admissions as a % of All Admissions (Number),1992,Number,73.0
260,HRA01C5,Re-Admissions as a % of All Admissions (Number),1993,Number,73.0
261,HRA01C5,Re-Admissions as a % of All Admissions (Number),1994,Number,73.0
262,HRA01C5,Re-Admissions as a % of All Admissions (Number),1995,Number,73.0
263,HRA01C5,Re-Admissions as a % of All Admissions (Number),1996,Number,73.0
264,HRA01C5,Re-Admissions as a % of All Admissions (Number),1997,Number,73.0
265,HRA01C5,Re-Admissions as a % of All Admissions (Number),1998,Number,72.0
266,HRA01C5,Re-Admissions as a % of All Admissions (Number),1999,Number,72.0
267,HRA01C5,Re-Admissions as a % of All Admissions (Number),2000,Number,70.0
268,HRA01C5,Re-Admissions as a % of All Admissions (Number),2001,Number,70.0
269,HRA01C5,Re-Admissions as a % of All Admissions (Number),2002,Number,70.0
270,HRA01C5,Re-Admissions as a % of All Admissions (Number),2003,Number,71.0
271,HRA01C5,Re-Admissions as a % of All Admissions (Number),2004,Number,73.0
272,HRA01C5,Re-Admissions as a % of All Admissions (Number),2005,Number,72.0
273,HRA01C5,Re-Admissions as a % of All Admissions (Number),2006,Number,72.0
274,HRA01C5,Re-Admissions as a % of All Admissions (Number),2007,Number,72.0
275,HRA01C5,Re-Admissions as a % of All Admissions (Number),2008,Number,70.0
276,HRA01C5,Re-Admissions as a % of All Admissions (Number),2009,Number,70.0
277,HRA01C5,Re-Admissions as a % of All Admissions (Number),2010,Number,68.0
278,HRA01C5,Re-Admissions as a % of All Admissions (Number),2011,Number,68.0
279,HRA01C5,Re-Admissions as a % of All Admissions (Number),2012,Number,66.0
280,HRA01C5,Re-Admissions as a % of All Admissions (Number),2013,Number,67.0
281,HRA01C5,Re-Admissions as a % of All Admissions (Number),2014,Number,67.0
282,HRA01C5,Re-Admissions as a % of All Admissions (Number),2015,Number,66.0
283,HRA01C5,Re-Admissions as a % of All Admissions (Number),2016,Number,65.0
284,HRA01C5,Re-Admissions as a % of All Admissions (Number),2017,Number,65.0
285,HRA01C5,Re-Admissions as a % of All Admissions (Number),2018,Number,65.0
286,HRA01C5,Re-Admissions as a % of All Admissions (Number),2019,Number,60.0
287,HRA01C5,Re-Admissions as a % of All Admissions (Number),2020,Number,63.0
288,HRA01C5,Re-Admissions as a % of All Admissions (Number),2021,Number,63.0
289,HRA01C5,Re-Admissions as a % of All Admissions (Number),2022,Number,66.0
290,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1965,"Rate per 100,000 Pop.",215.0
291,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1966,"Rate per 100,000 Pop.",232.0
292,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1967,"Rate per 100,000 Pop.",240.0
293,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1968,"Rate per 100,000 Pop.",252.0
294,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1969,"Rate per 100,000 Pop.",263.0
295,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1970,"Rate per 100,000 Pop.",267.0
296,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1971,"Rate per 100,000 Pop.",279.4
297,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1972,"Rate per 100,000 Pop.",298.1
298,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1973,"Rate per 100,000 Pop.",312.6
299,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1974,"Rate per 100,000 Pop.",299.3
300,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1975,"Rate per 100,000 Pop.",297.9
301,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1976,"Rate per 100,000 Pop.",300.1
302,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1977,"Rate per 100,000 Pop.",295.0
303,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1978,"Rate per 100,000 Pop.",291.3
304,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1979,"Rate per 100,000 Pop.",256.2
305,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1980,"Rate per 100,000 Pop.",251.1
306,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1981,"Rate per 100,000 Pop.",251.7
307,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1982,"Rate per 100,000 Pop.",258.3
308,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1983,"Rate per 100,000 Pop.",244.3
309,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1984,"Rate per 100,000 Pop.",254.0
310,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1985,"Rate per 100,000 Pop.",245.1
311,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1986,"Rate per 100,000 Pop.",239.6
312,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1987,"Rate per 100,000 Pop.",230.4
313,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1988,"Rate per 100,000 Pop.",234.4
314,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1989,"Rate per 100,000 Pop.",212.7
315,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1990,"Rate per 100,000 Pop.",214.0
316,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1991,"Rate per 100,000 Pop.",224.5
317,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1992,"Rate per 100,000 Pop.",210.2
318,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1993,"Rate per 100,000 Pop.",206.5
319,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1994,"Rate per 100,000 Pop.",201.4
320,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1995,"Rate per 100,000 Pop.",205.5
321,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1996,"Rate per 100,000 Pop.",202.2
322,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1997,"Rate per 100,000 Pop.",192.4
323,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1998,"Rate per 100,000 Pop.",195.7
324,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",1999,"Rate per 100,000 Pop.",195.9
325,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2000,"Rate per 100,000 Pop.",201.0
326,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2001,"Rate per 100,000 Pop.",201.3
327,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2002,"Rate per 100,000 Pop.",194.7
328,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2003,"Rate per 100,000 Pop.",169.9
329,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2004,"Rate per 100,000 Pop.",157.5
330,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2005,"Rate per 100,000 Pop.",151.1
331,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2006,"Rate per 100,000 Pop.",132.1
332,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2007,"Rate per 100,000 Pop.",138.0
333,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2008,"Rate per 100,000 Pop.",146.1
334,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2009,"Rate per 100,000 Pop.",140.9
335,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2010,"Rate per 100,000 Pop.",147.8
336,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2011,"Rate per 100,000 Pop.",133.6
337,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2012,"Rate per 100,000 Pop.",133.6
338,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2013,"Rate per 100,000 Pop.",132.0
339,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2014,"Rate per 100,000 Pop.",129.5
340,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2015,"Rate per 100,000 Pop.",133.3
341,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2016,"Rate per 100,000 Pop.",132.9
342,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2017,"Rate per 100,000 Pop.",124.0
343,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2018,"Rate per 100,000 Pop.",126.8
344,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2019,"Rate per 100,000 Pop.",110.8
345,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2020,"Rate per 100,000 Pop.",119.6
346,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2021,"Rate per 100,000 Pop.",120.9
347,HRA01C6,"First Admissions (Rate per 100,000 Pop.)",2022,"Rate per 100,000 Pop.",113.7
403,HRA01C7,"Re-Admissions (Rate per 100,000 Pop.)",2020,"Rate per 100,000 Pop.",203.6
404,HRA01C7,"Re-Admissions (Rate per 100,000 Pop.)",2021,"Rate per 100,000 Pop.",209.3
405,HRA01C7,"Re-Admissions (Rate per 100,000 Pop.)",2022,"Rate per 100,000 Pop.",217.9
406,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1965,"Rate per 100,000 Pop.",535.0
407,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1966,"Rate per 100,000 Pop.",573.0
408,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1967,"Rate per 100,000 Pop.",611.0
409,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1968,"Rate per 100,000 Pop.",657.0
410,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1969,"Rate per 100,000 Pop.",683.0
411,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1970,"Rate per 100,000 Pop.",705.0
412,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1971,"Rate per 100,000 Pop.",740.3
413,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1972,"Rate per 100,000 Pop.",796.2
414,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1973,"Rate per 100,000 Pop.",833.4
415,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1974,"Rate per 100,000 Pop.",838.2
416,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1975,"Rate per 100,000 Pop.",869.3
417,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1976,"Rate per 100,000 Pop.",887.5
418,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1977,"Rate per 100,000 Pop.",885.9
419,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1978,"Rate per 100,000 Pop.",928.8
420,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1979,"Rate per 100,000 Pop.",812.1
421,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1980,"Rate per 100,000 Pop.",804.4
422,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1981,"Rate per 100,000 Pop.",851.5
423,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1982,"Rate per 100,000 Pop.",854.3
424,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1983,"Rate per 100,000 Pop.",824.6
425,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1984,"Rate per 100,000 Pop.",837.2
426,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1985,"Rate per 100,000 Pop.",844.5
